p_id,name,price,colour,brand,img,ratingcount,avg_rating,description,p_attributes,rating_category,price_category
P1,Khushal K Women Black Ethnic Motifs Printed Kurta With Palazzos & With Dupatta,5099.0,Black,KHUSHAL K,http://assets.myntassets.com/assets/images/17048614/2022/2/4/b0eb9426-adf2-4802-a6b3-5dbacbc5f2511643971561167khushalkwomenblackethnicmotifsangrakhabeadsandstoneskurtawit7.jpg,45220,4.4,black printed kurta with palazzos with dupatta br br b kurta design b ethnic motifs printed anarkali shape regular style mandarin collar threequarter regular sleeves calf length with flared hem viscose rayon machine weave fabric br b palazzos design b printed palazzos elasticated waistband slipon closure uldupatta length 243 meters widthnbsp88 cmbrthe model height 58 is wearing a size s100 rayonbrmachine wash,addons na body shape id 443333324424 body or garment size garment measurements in bottom closure slipon bottom fabric viscose rayon bottom pattern printed bottom type palazzos character na dupatta with dupatta dupatta border solid dupatta fabric viscose rayon dupatta pattern printed main trend indie prints neck mandarin collar number of pockets na occasion festive ornamentation na pattern coverage placement print or pattern type ethnic motifs sleeve length threequarter sleeves sleeve styling regular sleeves slit detail na stitch ready to wear sustainable regular technique screen top design styling regular top fabric viscose rayon top hemline flared top length calf length top pattern printed top shape anarkali top type kurta waistband elasticated wash care machine wash weave pattern regular weave type machine weave,GOOD,High
P2,Inweave Women Orange Solid Kurta With Palazzos & Floral Print Dupatta,5899.0,Orange,INWEAVE,http://assets.myntassets.com/assets/images/16524740/2021/12/29/17ab2ac8-2e60-422d-9d20-2527415932361640754214931-strappy-set-in-orange-with-organza-dupatta-5961640754214349-2.jpg,10810,4.1,Orange solid Kurta with Palazzos with dupattabrbrbKurta design bulliSolidliliAline shapeliliRegular styleliliSquare neck sleeveless shoulder strapsliliCalf length with straight hemliliViscose rayon machine weave fabricliulbrbPalazzos design bulliSolid PalazzosliliElasticated waistbandliliZip closureliulbDupatta DesignbulliFloral PrintedliulKurta Fabric Viscose rayonbrBottom FabricnbspViscose rayonbrDupatta Fabric OrganzabrHand washThe model height 58 is wearing a size S,addons na body shape id 443333324424 body or garment size garment measurements in bottom closure zip bottom fabric viscose rayon bottom pattern solid bottom type palazzos character na dupatta with dupatta dupatta border printed dupatta fabric organza dupatta pattern printed main trend na neck square neck number of pockets na occasion fusion ornamentation na pattern coverage none print or pattern type solid sleeve length sleeveless sleeve styling shoulder straps slit detail na stitch ready to wear sustainable regular technique na top design styling regular top fabric viscose rayon top hemline flared top length calf length top pattern solid top shape aline top type kurta waistband elasticated wash care hand wash weave pattern regular weave type machine weave,GOOD,High
P3,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta With Trousers & With Dupatta,4899.0,Navy Blue,ANUBHUTEE,http://assets.myntassets.com/assets/images/16331376/2021/12/2/b8c4f90f-683c-48d2-b8ac-19891a87c0651638428628378kurtasets1.jpg,17520,4.2,navy blue embroidered kurta with trousers with dupatta br br b kurta design b ethnic motifs embroidered aline shape regular style round neck threequarter no sleeves thread work detail above knee length with flared hem viscose rayon machine weave fabric br b trousers design b printed trousers elasticated waistband slipon closure ulviscose rayonbrhand washthe model height 58 is wearing a size s,addons na body shape id 333424 body or garment size garment measurements in bottom closure slipon bottom fabric viscose rayon bottom pattern printed bottom type trousers character na dupatta with dupatta dupatta border tassels dupatta fabric voile dupatta pattern embroidered main trend na neck round neck number of pockets na occasion daily ornamentation thread work pattern coverage large print or pattern type ethnic motifs sleeve length threequarter sleeves sleeve styling no sleeves slit detail na stitch ready to wear style tip sustainable regular technique foil top design styling regular top fabric viscose rayon top hemline flared top length above knee top pattern embroidered top shape aline top type kurta waistband elasticated wash care hand wash weave pattern regular weave type machine weave,GOOD,High
P4,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699.0,Red,NAYO,http://assets.myntassets.com/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-nayo-women-red-ethnic-motifs-printed-empire-pure-cotton-kurt-1.jpg,41130,4.1,Red printed kurta with trouser and dupattabrbKurta designbulliPrinted kurtaliliAnarkali designliliRound neckliliThreequarter sleevesliliFlared hemliliCalf lengthliulbTrouser designbulliPrinted trousersliliElasticated waistbandliliSlipon closureliulbDupatta designbulliWhite and red printed dupattaliulTop fabric Pure Cotton br Bottom fabric Pure Cotton br Dupatta fabric Cotton Blend br Hand washDupatta length 2 metres approx br The model height 58 is wearing a size S,addons na body shape id 333424 body or garment size garment measurements in bottom closure slipon bottom fabric pure cotton bottom pattern printed bottom type trousers character na dupatta with dupatta dupatta border printed dupatta fabric cotton blend dupatta pattern printed main trend na neck round neck number of pockets na occasion daily ornamentation na pattern coverage large print or pattern type ethnic motifs sleeve length threequarter sleeves sleeve styling regular sleeves slit detail front slit stitch ready to wear sustainable regular technique na top design styling empire top fabric pure cotton top hemline flared top length calf length top pattern printed top shape anarkali top type kurta waistband elasticated wash care hand wash weave pattern regular weave type machine weave,GOOD,High
P5,Ahika Women Black & Green Printed Straight Kurta,1350.0,Black,AHIKA,http://assets.myntassets.com/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-ahika-women-black--green-printed-straight-kurta-990157554171-1.jpg,212740,4.0,black and green printed straight kurta has a nitched round neck threequarter sleeves straight hem side slitsmaterial cottonbr machine washthe model height 58 is wearing a size s,body shape id 424 body or garment size garment measurements in colour family monochrome design styling regular fabric cotton fabric 2 na fabric purity pure hemline straight length calf length main trend na neck round neck occasion daily ornamentation na pattern printed print or pattern type ethnic motifs shape straight sleeve length threequarter sleeves sleeve styling regular sleeves slit detail side slits stitch ready to wear technique na wash care machine wash weave pattern regular weave type machine weave,AVERAGE,Medium
P6,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta With Palazzos & With Dupatta,6000.0,Beige,AHALYAA,http://assets.myntassets.com/assets/images/14951330/2022/2/16/e6b90907-a613-45e1-9b2e-988caaba36581645010770505-ahalyaa-women-beige-floral-printed-regular-gotta-patti-kurta-1.jpg,17410,3.5,WHEN IN DOUBT ROCK THIS SIMPLE YET STYLISH KURTA SET AT ANY TRADITIONAL FUNCTION IT COMES WITH AN ELEGANT PRINTED KURTA AND SNUG PRINTED PALAZZOS FOR COMFORTNBSPULLIKURTALILICLASSY BEIGE TONELILIATTRACTIVE ROUND NECKLILILONG REGULAR SLEEVESLILICALF LENGTHLILIPOLY CREPE MACHINE WASHLILIPALAZZOSLILIPRINTED PALAZZOSLILIPARTIALLY ELASTICATED WAISTLILIPOLY CREPE MACHINE WASHLILITASSELS BORDERLILIPRINTED PATTERNLILINET MACHINE WASHLIULBTREND ALERTBBRSYMBOLS OF FRESHNESS AND BEAUTY ROMANTIC FLORALS IN VIBRANT HUES AND PRINTS HAVE BEEN A MAINSTAY IN FASHION FOR DECADES RIGHT FROM DELICATE ALLOVER PATTERNS TO ABSTRACT AND OVERSIZED MOTIFS ROMANTIC FLORALS LEND ANY GARMENT A FEMININE TOUCHTOP FABRIC POLY CREPE BR BOTTOM FABRIC POLY CREPE BR DUPATTA FABRIC NET BR MACHINE WASHTHE MODEL HEIGHT 58 IS WEARING A SIZE S,addons na body shape id 443333324424 body or garment size garment measurements in bottom closure slipon bottom fabric poly crepe bottom pattern printed bottom type palazzos character na dupatta with dupatta dupatta border tassels dupatta fabric net dupatta pattern printed main trend floral neck round neck number of pockets na occasion festive ornamentation gotta patti pattern coverage large print or pattern type floral sleeve length long sleeves sleeve styling regular sleeves slit detail side slits stitch ready to wear style tip long studded danglers a minaudiere with glimmering stones and an exquisite open bangle sustainable regular technique screen top design styling regular top fabric poly crepe top hemline straight top length calf length top pattern printed top shape straight top type kurta waistband partially elasticated wash care machine wash weave pattern regular weave type machine weave wedding guests gifting wheretowear wear to fun destination weddings,AVERAGE,High
P7,Anouk Women Yellow & White Printed Kurta With Palazzos,1999.0,Yellow,ANOUK,http://assets.myntassets.com/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-anouk-women-yellow--white-printed-kurta-with-palazzos-706164-1.jpg,70120,4.2,Yellow and white printed kurta with palazzosbr Yellow and white straight knee length kurta has a round neck threequarter sleeves side slitsbrYellow and white Printed palazzos has partially elasticated waistbandThe model height 58 is wearing a size STop fabric Pure CottonbrBottom fabric Pure CottonbrMachinewash,addons na body shape id 443333324424 body or garment size tofit denotes body measurements in bottom closure na bottom fabric pure cotton bottom pattern printed bottom type palazzos character na dupatta na dupatta border na dupatta fabric na dupatta pattern na main trend na neck round neck occasion daily ornamentation na pattern coverage large print or pattern type floral sleeve length threequarter sleeves sleeve styling regular sleeves slit detail side slits stitch ready to wear sustainable regular technique na top design styling regular top fabric pure cotton top hemline straight top length knee length top pattern printed top shape straight top type kurta waistband partially elasticated wash care machine wash weave pattern regular weave type machine weave,GOOD,Medium
P8,Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta,1999.0,Mustard,VARANGA,http://assets.myntassets.com/assets/images/12413214/2021/11/22/bb925efb-80d9-4cb6-838c-df86f1ba3c3e1637570416652-varanga-women-mustard-yellow-floral-yoke-embroidered-straigh-1.jpg,24260,4.3,Mustard yellow floral yoke embroidered straight kurta has a round neck threequarter sleeves straight hem and side slitsThe model height 58 is wearing a size SMaterial 100 CottonbrDry Clean,body shape id 424 body or garment size tofit denotes body measurements in colour family bright design styling regular fabric cotton fabric 2 na fabric purity pure hemline straight length calf length main trend na neck round neck occasion daily ornamentation thread work pattern embroidered print or pattern type floral shape straight sleeve length threequarter sleeves sleeve styling regular sleeves slit detail side slits stitch ready to wear sustainable regular technique na wash care dry clean weave pattern regular weave type machine weave,GOOD,Medium
P9,Ahika Women Teal Ethnic Motifs Yoke Design Kurta With Trousers & With Dupatta,3748.0,Teal,AHIKA,http://assets.myntassets.com/assets/images/16600750/2021/12/23/7d7656e5-e37d-4f61-9407-98bd341ca8f91640261029836kurtasets1.jpg,12680,4.1,Teal yoke design Kurta with Trousers with dupatta br br b Kurta design b Ethnic motifs yoke design Aline shape Panelled style Keyhole neck threequarter regular sleeves Calf length with flared hem Poly silk machine weave fabric br b Trousers design b Solid Trousers Partially elasticated waistband Zip closure ulThe model height 58 is wearing a size SbrDupatta length 225 mtr Width 07 mtrKurta Poly SilkbrBottomnbspPoly SilkbrDupatta Art SilkbrHand wash,addons na body shape id 333424 body or garment size garment measurements in bottom closure zip bottom fabric poly silk bottom pattern solid bottom type trousers character na dupatta with dupatta dupatta border taping dupatta fabric art silk dupatta pattern printed main trend na neck keyhole neck number of pockets na occasion festive ornamentation na pattern coverage yoke or border print or pattern type ethnic motifs sleeve length threequarter sleeves sleeve styling regular sleeves slit detail multiple slits stitch ready to wear sustainable regular technique na top design styling panelled top fabric poly silk top hemline flared top length calf length top pattern yoke design top shape aline top type kurta waistband partially elasticated wash care hand wash weave pattern regular weave type machine weave,GOOD,High
P10,Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta With Palazzos,2149.0,Navy Blue,VISHUDH,http://assets.myntassets.com/assets/images/9867983/2019/5/31/43d65352-9853-498e-95a4-be514df0be901559294212152-vishudh--straight-kurta-with-crop-palazzo-7041559294209627-1.jpg,26760,4.0,Navy blue printed Kurta with Palazzos br br b Kurta design b Floral printed Straight shape Regular style Mandarin collar threequarter rollup sleeves Calf length with straight hem Pure cotton machine weave fabric br b Palazzos design b Printed Palazzos Elasticated waistband Slipon closure ulTop fabric Pure Cotton br Bottom fabric Pure Cotton br Machine washThe model height 58 is wearing a size S,addons na body shape id 443333324424 body or garment size garment measurements in bottom closure slipon bottom fabric pure cotton bottom pattern printed bottom type palazzos character na dupatta na dupatta border na dupatta fabric na dupatta pattern na main trend indigo neck mandarin collar number of pockets na occasion daily ornamentation na pattern coverage large print or pattern type floral sleeve length threequarter sleeves sleeve styling rollup sleeves slit detail side slits stitch ready to wear sustainable regular technique screen top design styling regular top fabric pure cotton top hemline straight top length calf length top pattern printed top shape straight top type kurta waistband elasticated wash care machine wash weave pattern regular weave type machine weave,GOOD,High
